"Reporting Area","Current MMWR Year","MMWR WEEK","Label","Current week","Current week, flag","Previous 52 week Max","Previous 52 weeks Max, flag","Cumulative YTD Current MMWR Year","Cumulative YTD Current MMWR Year, flag","Cumulative YTD Previous MMWR Year","Cumulative YTD Previous MMWR Year, flag","LOCATION1","LOCATION2","sort_order","geocode"
"US RESIDENTS","2022","1","Cyclosporiasis","2","-","204","-","2","-","4","-",,"US RESIDENTS","20220101541",
"NEW ENGLAND","2022","1","Cyclosporiasis",,"-","13","-",,"-",,"-",,"NEW ENGLAND","20220101542",
"CONNECTICUT","2022","1","Cyclosporiasis",,"-","7","-",,"-",,"-","CONNECTICUT",,"20220101543","POINT (-72.738288 41.575155)"
"MAINE","2022","1","Cyclosporiasis",,"-","2","-",,"-",,"-","MAINE",,"20220101544","POINT (-69.06137 45.117911)"
"MASSACHUSETTS","2022","1","Cyclosporiasis",,"-","6","-",,"-",,"-","MASSACHUSETTS",,"20220101545","POINT (-71.481104 42.151077)"
"NEW HAMPSHIRE","2022","1","Cyclosporiasis",,"-","1","-",,"-",,"-","NEW HAMPSHIRE",,"20220101546","POINT (-71.57139 43.680429)"
"RHODE ISLAND","2022","1","Cyclosporiasis",,"-","1","-",,"-",,"-","RHODE ISLAND",,"20220101547","POINT (-71.534637 41.572574)"
"VERMONT","2022","1","Cyclosporiasis",,"-","2","-",,"-",,"-","VERMONT",,"20220101548","POINT (-72.662695 44.075252)"
"MIDDLE ATLANTIC","2022","1","Cyclosporiasis",,"-","49","-",,"-",,"-",,"MIDDLE ATLANTIC","20220101549",
"NEW JERSEY","2022","1","Cyclosporiasis",,"-","1","-",,"-",,"-","NEW JERSEY",,"20220101550","POINT (-74.655514 40.110253)"
"NEW YORK","2022","1","Cyclosporiasis",,"-","28","-",,"-",,"-","NEW YORK",,"20220101551","POINT (-75.59655 42.921241)"
"NEW YORK CITY","2022","1","Cyclosporiasis",,"-","12","-",,"-",,"-","NEW YORK CITY",,"20220101552",
"PENNSYLVANIA","2022","1","Cyclosporiasis",,"N",,"NC",,"N",,"N","PENNSYLVANIA",,"20220101553","POINT (-77.838886 40.896694)"
"EAST NORTH CENTRAL","2022","1","Cyclosporiasis",,"-","52","-",,"-","3","-",,"EAST NORTH CENTRAL","20220101554",
"ILLINOIS","2022","1","Cyclosporiasis",,"-","21","-",,"-",,"-","ILLINOIS",,"20220101555","POINT (-89.148632 40.124144)"
"INDIANA","2022","1","Cyclosporiasis",,"-","2","-",,"-",,"-","INDIANA",,"20220101556","POINT (-86.2818 39.919991)"
"MICHIGAN","2022","1","Cyclosporiasis",,"-","10","-",,"-",,"-","MICHIGAN",,"20220101557","POINT (-85.730977 44.874798)"
